v,vw,o,c,h,l,t,n
350.0,17.19,17.19,17.19,17.19,17.19,1670853600000,3
219516.0,17.0242,17.13,17.0,17.13,17.0,1670855400000,1788
430956.0,17.0065,17.005,17.01,17.05,16.995,1670857200000,2408
161958.0,16.988,17.01,17.015,17.02,16.945,1670859000000,1718
143115.0,17.0111,17.015,17.005,17.04,16.995,1670860800000,1500
314931.0,17.0043,17.005,16.985,17.035,16.985,1670862600000,1970
263085.0,17.0054,16.985,17.01,17.02,16.98,1670864400000,2022
294866.0,17.0042,17.0,17.0,17.02,16.995,1670866200000,1769
528025.0,16.9983,17.005,16.96,17.02,16.96,1670868000000,2060
966660.0,17.001,16.97,16.99,17.03,16.95,1670869800000,2397
200886.0,17.0674,17.0,17.183,17.195,17.0,1670871600000,1892
79292.0,17.1944,17.18,17.205,17.23,17.155,1670873400000,1112
127517.0,17.2308,17.205,17.255,17.27,17.2,1670875200000,1431
471042.0,17.3517,17.255,17.38,17.41,17.25,1670877000000,4354
23061.0,17.3895,17.39,17.36,17.39,17.36,1670878800000,21
200.0,17.41,17.41,17.41,17.41,17.41,1670880600000,1
610.0,17.4367,17.43,17.44,17.44,17.43,1670934600000,4
801.0,17.4825,17.48,17.5,17.5,17.48,1670936400000,5
16998.0,17.7496,17.54,17.8,17.81,17.54,1670938200000,72
1705.0,17.8012,17.81,17.86,17.86,17.79,1670940000000,23
203956.0,17.9524,17.9,17.915,18.07,17.84,1670941800000,1847
166698.0,17.7809,17.91,17.59,17.935,17.56,1670943600000,1921
139954.0,17.5364,17.585,17.44,17.605,17.425,1670945400000,1722
98181.0,17.4607,17.445,17.455,17.5,17.395,1670947200000,1364
191016.0,17.3912,17.46,17.39,17.46,17.345,1670949000000,1814
211818.0,17.435,17.4,17.43,17.515,17.38,1670950800000,1733
105689.0,17.4168,17.42,17.47,17.47,17.38,1670952600000,1407
96180.0,17.5024,17.47,17.535,17.545,17.465,1670954400000,1194
62451.0,17.5252,17.535,17.52,17.565,17.475,1670956200000,1188
127509.0,17.4644,17.515,17.405,17.545,17.39,1670958000000,1488
90349.0,17.4347,17.405,17.42,17.51,17.375,1670959800000,1345
95722.0,17.3849,17.41,17.415,17.42,17.335,1670961600000,1751
617416.0,17.4761,17.415,17.45,17.52,17.41,1670963400000,6812
338670.0,17.46,17.46,17.46,17.46,17.46,1670965200000,20
830.0,17.1053,16.96,17.43,17.44,16.7,1671019200000,13
289.0,17.35,17.35,17.35,17.35,17.35,1671022800000,1
582.0,17.4011,17.51,17.36,17.51,17.36,1671026400000,8
278016.0,17.2592,17.39,17.15,17.4918,17.135,1671028200000,2202
157661.0,17.1107,17.15,17.135,17.18,17.05,1671030000000,1993
200261.0,17.2412,17.13,17.415,17.415,17.12,1671031800000,2020
146568.0,17.4284,17.42,17.44,17.47,17.39,1671033600000,1670
132547.0,17.4558,17.44,17.465,17.49,17.42,1671035400000,1549
258254.0,17.4738,17.4664,17.36,17.505,17.355,1671037200000,1953
95895.0,17.3824,17.35,17.35,17.43,17.33,1671039000000,1202
99549.0,17.367,17.34,17.385,17.39,17.34,1671040800000,1127
119032.0,17.425,17.385,17.4,17.48,17.38,1671042600000,1331
199528.0,17.1855,17.39,17.155,17.39,17.08,1671044400000,2015
266672.0,17.0991,17.15,17.1402,17.185,17.0,1671046200000,2545
